"Stage","Enemy1","Enemy2","Enemy3","Enemy4","Enemy5","Enemy6","Enemy7","Enemy8","Enemy9","Enemy10","Enemy11"
1,"2-3-27-1","2-6-27-1",,,,,,,,,
2,"1-3-19-1","4-5-27-1",,,,,,,,,
3,"2-2-18-1","2-7-18-1",,,,,,,,,
4,"1-2-5-1","2-5-6-1","3-3-27-1",,,,,,,,
5,"1-5-25-1","2-3-25-1","2-8-26-1",,,,,,,,
6,"2-4-12-2",,,,,,,,,,
7,"1-5-11-1","2-1-13-1","4-4-10-1",,,,,,,,
8,"2-5-17-2","3-3-16-1",,,,,,,,,
9,"1-4-3-2","3-3-6-1","3-6-6-1",,,,,,,,
10,"1-3-3-1","2-6-4-1","3-4-7-1","3-8-7-1",,,,,,,
11,"2-4-23-2","3-5-22-1",,,,,,,,,
12,"2-2-12-2","2-8-9-2","3-5-12-1",,,,,,,,
13,"2-5-21-2",,,,,,,,,,
14,"1-2-23-2","2-8-24-1","3-1-24-1","3-3-24-1","3-6-24-1",,,,,,
15,"2-3-1-3","2-5-6-1",,,,,,,,,
16,"2-4-18-3","2-7-18-3","3-8-18-1",,,,,,,,
17,"1-1-5-3","1-4-5-2","2-2-5-2","3-3-5-1",,,,,,,
18,"1-8-8-2","2-5-12-3","3-6-8-2","4-1-8-2",,,,,,,
19,"3-3-14-3","3-4-15-3",,,,,,,,,
20,"2-4-22-2","4-4-10-3",,,,,,,,,
21,"2-1-11-3","2-5-13-3","3-4-12-2",,,,,,,,
22,"2-4-1-3","3-1-4-3",,,,,,,,,
23,"2-5-15-2","3-2-17-3","3-5-17-2",,,,,,,,
24,"2-2-2-3","2-4-2-3",,,,,,,,,
25,"2-3-14-3","2-5-14-3",,,,,,,,,
26,"1-2-26-1","1-4-26-1","1-7-26-1","2-2-26-2","2-6-26-2","2-8-26-1","3-2-26-1","3-5-36-1","3-9-26-1","4-5-26-1","4-7-26-1"
27,"2-3-2-3","2-5-2-3",,,,,,,,,
28,"2-2-18-3","2-5-18-3","3-3-14-3",,,,,,,,
29,"2-3-26-3","2-6-23-3","3-5-20-3",,,,,,,,
30,"1-1-1-3","1-4-3-3","2-2-7-3",,,,,,,,
31,"2-2-9-3","2-6-9-3","3-4-9-3",,,,,,,,
32,"2-5-14-3","3-2-16-3","3-7-16-3",,,,,,,,
33,"1-3-8-2","1-5-13-2","2-2-12-2","2-5-11-2","3-3-9-2","4-2-10-2",,,,,
34,"1-5-14-2","2-1-19-2","2-5-15-2","3-2-16-2","3-5-18-2","3-8-17-2",,,,,
35,"1-2-2-3","1-5-2-3","2-2-1-3",,,,,,,,
36,"1-5-24-3","2-2-24-3","3-7-24-3","4-4-24-2",,,,,,,
37,"2-1-22-3","2-3-22-3","2-5-22-3",,,,,,,,
38,"1-4-8-3","2-7-8-3","3-1-8-3","4-4-8-3",,,,,,,
39,"2-2-14-3","3-5-14-3","3-8-14-3",,,,,,,,
40,"2-2-21-3","2-5-21-3","2-7-21-3",,,,,,,,
41,"1-1-2-3","1-5-2-3","3-3-6-3",,,,,,,,
42,"4-1-10-3","4-3-10-3","4-6-10-3","4-8-10-3",,,,,,,
43,"1-4-2-2","2-1-7-2","2-3-3-2","2-7-1-2","3-3-5-2","3-7-6-2","4-3-4-2",,,,
44,"1-4-22-3","2-2-24-3","4-4-10-3",,,,,,,,
45,"1-2-26-2","1-4-26-2","1-7-26-2","2-2-26-2","2-6-26-2","2-8-26-2","3-2-26-2","3-5-36-2","3-9-26-2","4-5-26-2",
46,"2-1-1-3","2-4-1-3","2-7-1-3",,,,,,,,
47,"2-4-23-3","2-7-23-3","3-3-20-3","3-6-20-3",,,,,,,
48,"1-5-17-3","2-2-17-3","2-7-17-3","3-4-17-3","4-8-17-3",,,,,,
49,"1-4-22-2","1-6-21-2","2-1-24-2","2-5-20-2","3-3-23-2","3-4-25-2","3-6-26-2",,,,
50,"2-4-28-4",,,,,,,,,,
